Словоформа,Частота (ipm),Капитализация
поступили,7.297654,lower
поступить,13.84452,lower
поступки,11.111654,lower
поступков,6.126425,lower
поступления,9.760237,lower
поступок,10.721245,lower
постучал,6.606929,lower
посты,7.41778,lower
посуда,5.856142,lower
посуду,15.04578,lower
посуды,8.979418,lower
посчитал,5.075323,lower
посылал,5.946236,lower
посылать,5.255512,lower
пот,10.060552,lower
пота,9.369827,lower
потенциал,24.445639,lower
потенциала,14.325024,lower
потенциально,8.709134,lower
потенциальных,10.480993,lower
потепление,5.766047,lower
потепления,5.01526,lower
потери,25.706962,lower
потерь,10.841371,lower
потеря,8.919355,lower
потеряв,5.856142,lower
потерял,28.860269,lower
потеряла,13.754426,lower
потеряли,17.478331,lower
потерять,15.856631,lower
потихоньку,18.739654,lower
поток,33.755403,lower
потока,16.607418,lower
потоками,6.126425,lower
потоке,7.507874,lower
потоки,16.126914,lower
потоков,11.712284,lower
потоком,8.048441,lower
потолка,14.415119,lower
потолке,7.057402,lower
потолком,8.589008,lower
потолку,5.82611,lower
потолок,21.022048,lower
Потом,252.925271,higher
потом,719.885023,lower
потомкам,8.649071,lower
потомки,15.346095,lower
потомков,18.229119,lower
потомства,6.396709,lower
потомство,7.658032,lower
Потому,137.634352,higher
потому,610.240026,lower
потратить,7.808189,lower
потребителей,16.457261,lower
потребитель,5.465733,lower
потребительского,5.736016,lower
потребителя,9.580048,lower
потребление,12.372977,lower
потребления,30.121592,lower
потребностей,12.973607,lower
потребности,21.562615,lower
потребность,22.613717,lower
потребовал,12.913544,lower
потребовала,6.246551,lower
потребовали,6.036331,lower
потребовалось,7.207559,lower
потребует,7.327685,lower
потребуется,11.411969,lower
потянул,7.688063,lower
потянулись,5.40567,lower
потянулся,8.378788,lower
похвастаться,5.555827,lower
поход,15.015749,lower
похода,8.498914,lower
походе,5.285544,lower
походил,8.138536,lower
походкой,6.036331,lower
похож,44.11627,lower
похожа,25.947214,lower
похожая,13.514174,lower
Похоже,24.806017,higher
похоже,70.724176,lower
похожего,9.279733,lower
похожее,15.256001,lower
похожей,11.502063,lower
похожи,33.515151,lower
похожие,22.553654,lower
похожий,26.037308,lower
похожим,13.153796,lower
похожими,8.498914,lower
похожих,10.300804,lower
похожую,5.736016,lower
похорон,7.898284,lower
похоронах,8.078473,lower
похоронен,6.787118,lower
похоронили,8.168567,lower
похороны,12.04263,lower
поцеловал,9.369827,lower
поцеловала,6.186488,lower
поцеловать,5.375638,lower
поцелуй,5.585859,lower
почва,5.285544,lower
почве,15.496253,lower
почву,12.222819,lower
почвы,12.282882,lower
Почему,183.342291,higher
почему,269.863035,lower
Почему-то,17.478331,higher
почему-то,103.728792,lower
почерк,7.057402,lower
почерком,7.597969,lower
почитать,12.222819,lower
почки,5.856142,lower
почта,5.135386,lower
почте,10.330835,lower
Почти,41.383403,higher
почти,516.241439,lower
почту,7.868252,lower
почты,6.006299,lower
почувствовал,41.623655,lower
почувствовала,14.895623,lower
почувствовали,5.225481,lower
почувствовать,13.544205,lower
Пошел,5.886173,higher
пошел,100.245138,lower
пошла,67.150428,lower
Пошли,15.346095,higher
пошли,69.7932,lower
пошло,21.05208,lower
пошутил,6.306614,lower
пошёл,17.598457,lower
поэзии,52.94553,lower
поэзию,9.369827,lower
Поэзия,5.435701,higher
поэзия,19.520473,lower
поэма,5.796079,lower
поэме,5.195449,lower
поэму,5.61589,lower
поэмы,9.42989,lower
Поэт,14.084772,higher
поэт,79.943846,lower
поэта,76.039751,lower
поэтами,5.045292,lower
поэтесса,5.165418,lower
поэтические,5.976268,lower
поэтический,6.396709,lower
поэтических,7.267622,lower
поэтического,7.928315,lower
поэтической,7.357717,lower
поэтов,35.49723,lower
поэтом,17.05789,lower
Поэтому,216.707285,higher
поэтому,231.813128,lower
поэту,12.372977,lower
поэты,20.151135,lower
поют,17.868741,lower
появилась,63.126207,lower
Появились,5.495764,higher
появились,74.80846,lower
появилось,32.734332,lower
появился,70.243672,lower
появится,21.112143,lower
появиться,13.724394,lower
Появление,7.297654,higher
появление,35.467198,lower
появлением,16.547355,lower
появлении,9.099544,lower
появлению,9.760237,lower
появления,34.986694,lower
появляется,44.957152,lower
появлялась,5.856142,lower
появлялись,13.544205,lower
появлялся,9.550016,lower
появляться,14.204898,lower
появляются,30.632127,lower
появятся,10.871402,lower
пояс,16.84767,lower
пояса,11.592158,lower
пояснил,20.841859,lower
пояснила,5.40567,lower
поясняет,8.558977,lower
пр,7.988378,lower
пр.,11.381937,lower
прав,79.523405,lower
права,121.927879,lower
правах,13.6343,lower
правая,7.447811,lower
Правда,138.265014,higher
правда,182.501409,lower
правде,13.333985,lower
правдой,8.438851,lower
правду,33.90556,lower
правды,20.031009,lower
праве,9.099544,lower
Правил,10.871402,higher
правил,40.182143,lower
Правила,11.171717,higher
правила,50.663136,lower
правилам,22.763875,lower
правилами,7.838221,lower
Правило,5.165418,higher
правило,99.974855,lower
правильнее,5.135386,lower
Правильно,17.928804,higher
правильно,78.892743,lower
правильного,6.276583,lower
правильное,8.799229,lower
правильной,8.889323,lower
правильные,8.859292,lower
правильный,11.952536,lower
правильным,7.748126,lower
правителей,6.036331,lower
Правительства,18.919843,higher
правительства,62.285325,lower
правительстве,9.610079,lower
Правительство,11.23178,higher
правительство,46.72901,lower
правительством,10.120615,lower
правительству,8.769197,lower
правителя,7.688063,lower
править,5.165418,lower
правление,6.21652,lower
правления,27.959324,lower
Право,6.066362,higher
право,99.164004,lower
правового,12.793418,lower
правовой,17.268111,lower
правовые,6.757087,lower
правовых,16.186977,lower
правого,9.760237,lower
правое,5.495764,lower
правой,29.310741,lower
правом,21.65271,lower
правоохранительных,5.075323,lower
православие,6.42674,lower
православия,7.057402,lower
Православная,5.105355,higher
православная,5.225481,lower
православного,9.880363,lower
Православной,17.238079,higher
православной,17.928804,lower
православные,7.477843,lower
православный,6.516835,lower
православных,14.775497,lower
правосудия,5.01526,lower
праву,11.622189,lower
правую,15.496253,lower
правы,13.664331,lower
правый,10.511024,lower
правых,5.675953,lower
правящей,5.375638,lower
праздник,37.749592,lower
праздника,15.64641,lower
праздникам,5.40567,lower
праздники,15.496253,lower
праздников,10.090583,lower
праздником,5.465733,lower
праздничный,5.135386,lower
практик,16.667481,lower
Практика,7.748126,higher
практика,23.424568,lower
практике,37.088899,lower
практики,34.566253,lower
практикой,7.297654,lower
практику,15.916694,lower
Практически,11.982567,higher
практически,154.24177,lower
практические,6.546866,lower
практических,8.258662,lower
практического,6.096394,lower
практической,11.652221,lower
прах,10.601119,lower
пребывает,6.276583,lower
пребывал,5.916205,lower
пребывание,6.396709,lower
пребывания,17.898772,lower
превосходит,6.456772,lower
превратилась,18.229119,lower
превратили,5.01526,lower
превратились,12.282882,lower
превратилось,6.636961,lower
превратился,21.112143,lower
превратится,6.486803,lower
превратить,13.364016,lower
превратиться,10.150646,lower
превращает,7.688063,lower
превращается,28.199576,lower
превращаются,10.03052,lower
превращаясь,5.525796,lower
превращение,10.000489,lower
превращения,11.141686,lower
превышает,19.25019,lower
пред,23.27441,lower
предательство,5.976268,lower
предварительно,12.613229,lower
предел,9.339796,lower
предела,13.003638,lower
пределами,29.250678,lower
пределах,32.614206,lower
пределов,6.276583,lower
пределы,29.400836,lower
предельно,16.967796,lower
предисловии,6.276583,lower
предка,7.327685,lower
предками,5.856142,lower
предки,15.706473,lower
предков,23.364505,lower
предлагает,34.29597,lower
предлагается,11.321874,lower
предлагал,15.04578,lower
предлагали,11.592158,lower
предлагать,5.736016,lower
предлагаю,6.907244,lower
предлагают,19.580536,lower
предлагая,5.82611,lower
предлогом,7.297654,lower
предложение,34.446127,lower
предложением,8.108504,lower
предложений,13.424079,lower
предложения,34.025686,lower
предложено,5.61589,lower
предложил,71.565058,lower
предложила,20.391387,lower
предложили,22.733843,lower
предложить,20.601607,lower
предмет,46.068317,lower
предмета,16.907733,lower
предметам,5.045292,lower
предметами,6.126425,lower
предметов,30.031497,lower
предметом,20.961985,lower
предмету,5.165418,lower
предметы,35.677419,lower
предок,5.255512,lower
предоставить,11.742315,lower
предоставление,6.636961,lower
предоставления,12.102693,lower
предоставляет,8.799229,lower
предотвратить,8.22863,lower
предполагает,32.343923,lower
Предполагается,6.516835,higher
предполагается,10.961497,lower
предполагал,10.781308,lower
предполагали,5.555827,lower
предполагалось,10.571087,lower
предполагать,6.516835,lower
предполагают,8.378788,lower
предположение,14.475182,lower
предположения,7.928315,lower
предположил,10.330835,lower
предположительно,8.048441,lower
предположить,35.226946,lower
предпосылки,7.237591,lower
предпочел,5.705984,lower
предпочитает,8.528945,lower
предпочитал,6.907244,lower
предпочитали,5.705984,lower
предпочитают,14.23493,lower
предпочтение,8.438851,lower
предпочтения,5.225481,lower
предпринимателей,12.252851,lower
предприниматели,5.255512,lower
предприниматель,6.336646,lower
предпринимательства,12.43304,lower
предпринять,5.255512,lower
предприятие,17.598457,lower
предприятии,6.907244,lower
предприятий,43.545671,lower
предприятия,46.488758,lower
предприятиями,5.345607,lower
предприятиях,7.147496,lower
председателем,12.403008,lower
Председатель,8.048441,higher
председатель,26.607907,lower
председателя,20.601607,lower
предсказать,7.447811,lower
представил,19.700662,lower
представила,7.597969,lower
представили,6.036331,lower
представился,6.126425,lower
представителей,46.068317,lower
представителем,6.907244,lower
Представители,7.087433,higher
представители,45.257466,lower
представитель,20.121103,lower
представителя,11.23178,lower
представителям,5.525796,lower
представителями,14.23493,lower
представить,75.559247,lower
представлен,16.63745,lower
представлена,16.577387,lower
представление,47.239545,lower
представлении,7.988378,lower
представлений,21.802867,lower
представления,53.906538,lower
представлениям,8.799229,lower
представлениями,5.736016,lower
представленных,6.486803,lower
представлено,8.739166,lower
представлены,28.68008,lower
представляет,74.868523,lower
представляете,7.567937,lower
представляется,35.016726,lower
Представляешь,6.246551,higher
представляешь,9.550016,lower
представлял,25.196426,lower
представляла,13.454111,lower
представляли,13.574237,lower
представлялось,7.988378,lower
представлять,14.505213,lower
представляю,11.772347,lower
представляют,34.956663,lower
представляются,5.225481,lower
представляя,6.727055,lower
Представьте,11.171717,higher
представьте,9.880363,lower
предстает,10.601119,lower
предстоит,29.340773,lower
предстояло,16.577387,lower
предупредил,9.940426,lower
предупредить,8.078473,lower
предупреждал,5.255512,lower
предупреждение,11.862441,lower
предупреждения,9.339796,lower
предусматривает,6.576898,lower
предусмотрено,5.705984,lower
предшественников,6.877213,lower
предъявить,6.396709,lower
предыдущего,9.519985,lower
предыдущей,8.078473,lower
предыдущие,8.649071,lower
предыдущих,12.072662,lower
преемственности,6.006299,lower
преемственность,5.61589,lower
Прежде,41.413435,higher
прежде,202.111977,lower
прежнего,11.051591,lower
прежнее,6.757087,lower
прежней,15.64641,lower
прежнем,6.306614,lower
прежние,14.264961,lower
прежний,7.41778,lower
прежним,7.628,lower
прежних,13.724394,lower
презентации,8.22863,lower
Президент,13.934615,higher
президент,46.368632,lower
Президента,16.457261,higher
президента,57.57038,lower
президентом,18.319213,lower
президенту,8.61904,lower
Президиума,5.856142,higher
президиума,5.255512,lower
презрением,5.075323,lower
презрительно,8.949386,lower
преимуществ,6.246551,lower
преимущества,19.640599,lower
преимущественно,27.388726,lower
преимущество,14.715434,lower
прекрасна,5.465733,lower
прекрасная,12.883512,lower
прекрасно,65.829042,lower
прекрасного,10.060552,lower
прекрасное,11.772347,lower
прекрасной,13.123764,lower
прекрасную,6.697024,lower
прекрасные,12.793418,lower
прекрасный,21.772836,lower
прекрасным,9.880363,lower
прекрасных,8.01841,lower
прекратить,11.081623,lower
прелесть,7.297654,lower
премии,38.530411,lower
премий,8.498914,lower
премию,21.832899,lower
премия,9.850331,lower
премьер,6.606929,lower
премьер-министр,5.976268,lower
премьер-министра,6.066362,lower
премьера,10.661182,lower
премьеры,5.315575,lower
преобладают,5.315575,lower
преобразований,8.859292,lower
преобразования,11.892473,lower
преодолевать,6.156457,lower
преодоление,6.666992,lower
преодоления,11.442,lower
преодолеть,21.2623,lower
препарат,9.850331,lower
препарата,7.117465,lower
препаратов,13.273922,lower
препараты,9.129575,lower
преподавал,6.997339,lower
преподавания,8.198599,lower
преподавателей,13.333985,lower
преподаватели,7.447811,lower
преподаватель,10.360867,lower
преподавателя,7.117465,lower
преподавать,6.576898,lower
преподобного,6.126425,lower
препятствий,5.555827,lower
препятствия,6.366677,lower
прервал,6.036331,lower
пресса,9.069512,lower
прессе,10.541056,lower
прессы,8.438851,lower
престарелых,5.345607,lower
престол,11.442,lower
престола,6.42674,lower
преступление,15.04578,lower
преступлений,11.922504,lower
преступления,31.322852,lower
преступников,7.567937,lower
претендовать,6.126425,lower
претендует,5.135386,lower
претензии,12.943575,lower
претензий,9.700174,lower
При,307.402407,higher
при,1104.077968,lower
приближается,10.150646,lower
приближении,5.435701,lower
приблизился,6.186488,lower
приблизительно,14.895623,lower
приблизиться,6.697024,lower
прибор,12.673292,lower
прибора,6.156457,lower
приборов,12.372977,lower
приборы,12.763386,lower
прибыл,14.294993,lower
прибыли,24.175355,lower
прибыль,17.598457,lower
приведены,6.81715,lower
приведет,16.367166,lower
привез,17.178016,lower
привезла,6.336646,lower
привезли,18.589497,lower
привезти,6.246551,lower
привел,23.724883,lower
привела,17.508363,lower
привели,23.544694,lower
привело,26.577875,lower
привести,42.945041,lower
Привет,18.018898,higher
привет,14.655371,lower
приветливо,6.697024,lower
привлек,5.045292,lower
привлекает,10.360867,lower
привлекательности,5.045292,lower
привлекательность,6.396709,lower
привлекать,9.519985,lower
привлекают,5.736016,lower
привлечение,5.345607,lower
привлечения,11.682252,lower
привлечь,20.211198,lower
приводил,6.006299,lower
приводили,5.946236,lower
приводит,53.215813,lower
приводить,9.279733,lower
приводят,14.264961,lower
привозили,5.375638,lower
привык,20.361355,lower
привыкла,10.811339,lower
привыкли,21.502552,lower
привыкнуть,6.636961,lower
привычка,9.42989,lower
привычке,13.364016,lower
привычки,10.180678,lower
привычку,5.82611,lower
привычно,14.685402,lower
привычного,6.757087,lower
привычное,5.495764,lower
привычной,9.399859,lower
привычные,7.778158,lower
привычный,7.117465,lower
привычным,6.847181,lower
привычных,8.378788,lower
пригласил,19.640599,lower
пригласила,6.336646,lower
пригласили,13.213859,lower
пригласить,8.408819,lower
приглашает,5.40567,lower
приглашали,6.126425,lower
приглашение,10.330835,lower
приглашения,5.40567,lower
приговор,16.03682,lower
приговора,5.40567,lower
пригодится,5.886173,lower
приготовить,7.267622,lower
приготовления,9.760237,lower
придает,10.42093,lower
придать,8.01841,lower
придают,5.675953,lower
придет,39.221136,lower
Придется,5.525796,higher
придется,81.475452,lower
приду,9.249701,lower
придумал,28.019387,lower
придумала,7.898284,lower
придумали,14.264961,lower
придумать,19.700662,lower
придумывать,6.096394,lower
придут,14.024709,lower
придя,6.727055,lower
придёт,6.967307,lower
придётся,15.496253,lower
приедет,13.724394,lower
приеду,5.61589,lower
приезд,6.727055,lower
приезда,9.940426,lower
приезжает,9.970457,lower
приезжал,16.937764,lower
приезжала,7.447811,lower
приезжали,10.841371,lower
приезжать,5.976268,lower
приезжают,8.01841,lower
прием,24.535733,lower
приема,13.814489,lower
приеме,6.42674,lower
приемной,7.357717,lower
приемов,7.41778,lower
приемы,10.871402,lower
приехал,54.14679,lower
приехала,25.646899,lower
Приехали,5.01526,higher
приехали,29.340773,lower
приехать,16.397198,lower
прижал,5.585859,lower
прижимая,5.225481,lower
приз,6.576898,lower
призвал,8.288693,lower
призван,6.81715,lower
призваны,5.345607,lower
призму,5.525796,lower
признавался,5.465733,lower
признавать,5.40567,lower
признает,9.610079,lower
признается,12.222819,lower
признак,16.24704,lower
признакам,8.078473,lower
признаками,5.61589,lower
признаки,28.439828,lower
признаков,25.616867,lower
признаком,7.958347,lower
признал,11.922504,lower
призналась,6.877213,lower
признали,8.318725,lower
признался,16.126914,lower
признан,8.258662,lower
признание,19.039969,lower
признанию,5.375638,lower
признания,13.24389,lower
признать,32.373954,lower
признаться,13.24389,lower
признают,8.048441,lower
призрак,7.267622,lower
призыв,9.730205,lower
призывает,6.666992,lower
призывал,6.186488,lower
призывы,5.075323,lower
прийти,33.154773,lower
приказ,21.532584,lower
приказа,8.889323,lower
приказал,20.811828,lower
приказом,6.697024,lower
приказу,10.150646,lower
приказы,5.856142,lower
прикладного,5.61589,lower
прикладной,8.558977,lower
приключений,8.769197,lower
приключения,7.177528,lower
прикрыл,5.585859,lower
прилетел,5.766047,lower
приличия,5.315575,lower
прилично,9.009449,lower
приличные,5.165418,lower
приличный,5.82611,lower
Приложение,6.036331,higher
приложение,8.378788,lower
приложений,10.210709,lower
приложения,11.081623,lower
приложил,6.246551,lower
применение,25.736993,lower
применением,10.360867,lower
применении,6.636961,lower
применения,37.839687,lower
применительно,11.291843,lower
применить,11.291843,lower
применяется,10.120615,lower
применять,14.44515,lower
применяться,5.225481,lower
применяют,8.949386,lower
применяются,7.357717,lower
Пример,8.979418,higher
пример,67.99131,lower
примера,11.622189,lower
примере,20.66167,lower
Примерно,20.241229,higher
примерно,130.997391,lower
примеров,17.988867,lower
Примером,5.105355,higher
примером,14.595308,lower
примеру,63.246333,lower
примеры,22.493592,lower
примет,11.081623,lower
приметы,5.796079,lower
Примечания,5.165418,higher
Примечательно,8.01841,higher
Приморье,7.567937,higher
Приморья,5.01526,higher
примут,6.606929,lower
принадлежал,11.472032,lower
принадлежала,8.258662,lower
принадлежали,7.237591,lower
принадлежат,15.526284,lower
принадлежать,6.546866,lower
принадлежит,41.893939,lower
принадлежности,15.105843,lower
принадлежность,10.300804,lower
принес,27.148474,lower
принесет,7.808189,lower
принесла,18.799717,lower
принесли,18.559465,lower
принести,17.868741,lower
принимает,27.899261,lower
принимается,7.718095,lower
принимал,21.892962,lower
принимала,9.249701,lower
принимали,19.46041,lower
принимать,42.284348,lower
принимают,19.009938,lower
принимаются,12.823449,lower
принимая,10.42093,lower
приносил,8.348756,lower
приносила,5.045292,lower
приносили,8.649071,lower
приносит,17.508363,lower
приносить,10.000489,lower
приносят,10.330835,lower
Принц,7.748126,higher
принц,5.856142,lower
принца,6.757087,lower
принцесса,5.916205,lower
Принцип,7.02737,higher
принцип,41.143151,lower
принципа,15.496253,lower
принципам,6.42674,lower
принципах,7.477843,lower
принципе,48.891278,lower
принципиально,34.175844,lower
принципов,22.163245,lower
принципу,21.382426,lower
принципы,26.247529,lower
приняв,6.276583,lower
принял,49.491908,lower
приняла,17.328174,lower
принялась,14.565276,lower
приняли,36.157923,lower
принялись,11.83241,lower
приняло,5.585859,lower
принялся,28.950363,lower
принят,12.883512,lower
принята,6.336646,lower
принятие,10.42093,lower
принятии,5.525796,lower
принятия,25.767025,lower
принято,63.396491,lower
приняты,7.958347,lower
принятых,5.255512,lower
принять,65.738948,lower
принёс,5.075323,lower
приобрел,12.973607,lower
приобрела,8.769197,lower
приобрели,8.378788,lower
приобрести,16.156946,lower
приобретает,15.796568,lower
приобретать,5.886173,lower
приобретают,7.628,lower
приобретение,10.841371,lower
приобретения,8.138536,lower
приоритет,6.666992,lower
приоритетов,5.82611,lower
приоритеты,6.186488,lower
Природа,9.399859,higher
природа,29.430867,lower
природе,58.621483,lower
природного,13.934615,lower
природной,8.528945,lower
природные,11.261812,lower
природный,6.396709,lower
природных,21.953025,lower
природой,15.826599,lower
природу,26.037308,lower
природы,73.877483,lower
прирост,7.658032,lower
прироста,5.075323,lower
присел,11.532095,lower
присела,5.345607,lower
прислал,8.709134,lower
прислали,6.396709,lower
прислушиваясь,5.495764,lower
пристально,12.883512,lower
пристани,6.366677,lower
приступ,7.537906,lower
приступил,5.946236,lower
приступить,6.066362,lower
присутствие,23.544694,lower
присутствии,21.622678,lower
присутствия,13.84452,lower
присутствовал,7.898284,lower
присутствовали,5.946236,lower
присутствовать,7.177528,lower
присутствует,20.121103,lower
присутствуют,12.523134,lower
присутствующих,7.808189,lower
приток,5.225481,lower
притом,15.015749,lower
притяжения,5.675953,lower
приход,8.799229,lower
прихода,15.135875,lower
приходил,24.085261,lower
приходила,14.23493,lower
приходили,22.103182,lower
приходило,9.21967,lower
приходилось,64.417562,lower
приходит,51.774301,lower
приходится,95.139784,lower
приходить,15.135875,lower
приходом,6.847181,lower
приходят,27.86923,lower
прихожан,6.126425,lower
прихожей,14.264961,lower
прихожую,5.61589,lower
Причем,60.243184,higher
причем,109.554902,lower
причин,37.569403,lower
Причина,10.601119,higher
причина,29.460899,lower
причинам,28.439828,lower
причинами,5.075323,lower
причинах,7.087433,lower
причине,40.572553,lower
причиной,28.710111,lower
причину,12.342945,lower
Причины,5.585859,higher
причины,36.938742,lower
Причём,10.180678,higher
причём,16.877702,lower
Пришел,7.628,higher
пришел,102.947973,lower
пришелся,6.246551,lower
Пришла,6.606929,higher
пришла,70.964428,lower
Пришли,5.285544,higher
пришли,75.589279,lower
пришло,37.89975,lower
Пришлось,19.940914,higher
пришлось,132.799281,lower
пришёл,17.838709,lower
приют,8.82926,lower
приятель,12.222819,lower
приятеля,7.357717,lower
Приятно,5.225481,higher
приятно,43.245356,lower
приятное,8.438851,lower
приятный,9.760237,lower
приятным,5.82611,lower
приём,5.82611,lower
Про,47.599923,higher
про,443.415058,lower
проанализировать,5.435701,lower
пробки,7.477843,lower
проблем,89.944335,lower
Проблема,22.313403,higher
проблема,78.742586,lower
проблемам,14.715434,lower
проблемами,17.838709,lower
проблемах,10.330835,lower
проблеме,18.139024,lower
проблемой,20.181166,lower
проблему,40.902899,lower
Проблемы,9.970457,higher
проблемы,138.144888,lower
пробовал,9.910394,lower
пробормотал,11.562126,lower
пробы,7.087433,lower
провал,7.748126,lower
провалился,5.886173,lower
проведена,5.856142,lower
проведение,19.760725,lower
проведении,14.415119,lower
проведению,5.525796,lower
проведения,42.734821,lower
проведенного,5.135386,lower
проведенных,5.315575,lower
проведены,6.757087,lower
провел,34.986694,lower
провела,14.505213,lower
провели,26.097371,lower
проверить,26.87819,lower
проверка,8.558977,lower
проверки,19.670631,lower
проверку,7.778158,lower
проверять,10.541056,lower
провести,45.437655,lower
провинции,22.67378,lower
провода,9.580048,lower
проводил,19.490442,lower
проводила,7.597969,lower
проводили,16.667481,lower
проводились,9.21967,lower
проводимых,5.195449,lower
проводит,18.529434,lower
проводится,14.715434,lower
проводить,39.821765,lower
проводов,5.315575,lower
проводят,15.105843,lower
проводятся,12.04263,lower
провёл,6.666992,lower
прогноз,12.883512,lower
прогноза,6.606929,lower
прогнозам,6.396709,lower
прогнозы,9.790268,lower
проговорил,20.45145,lower
проговорила,10.751276,lower
программ,37.749592,lower
Программа,11.502063,higher
программа,39.551482,lower
программах,5.525796,lower
программе,28.529922,lower
программирования,5.225481,lower
программного,10.541056,lower
программных,5.375638,lower
программой,8.498914,lower
программу,37.569403,lower
Программы,5.165418,higher
программы,89.674051,lower
прогресс,15.165906,lower
прогресса,18.04893,lower
прогулки,11.83241,lower
прогулку,6.727055,lower
прогулок,6.396709,lower
прогуляться,5.946236,lower
продавали,8.01841,lower
продавать,17.808678,lower
продавец,7.357717,lower
продавца,5.225481,lower
продавцы,5.225481,lower
продается,7.447811,lower
продаж,22.643749,lower
продажа,5.736016,lower
продаже,13.994678,lower
продажи,26.187466,lower
продажу,12.823449,lower
продал,10.480993,lower
продали,6.126425,lower
продать,21.502552,lower
продают,12.913544,lower
продаются,8.919355,lower
продвижение,5.645921,lower
продвижения,7.958347,lower
продемонстрировал,5.645921,lower
продемонстрировать,8.61904,lower
продлить,5.946236,lower
продовольствия,6.456772,lower
продолжает,46.909199,lower
продолжается,18.829749,lower
продолжал,56.008743,lower
продолжала,26.457749,lower
продолжалась,6.967307,lower
продолжали,18.709623,lower
продолжалось,9.009449,lower
продолжать,22.163245,lower
продолжаться,6.666992,lower
продолжают,20.811828,lower
продолжая,12.733355,lower
продолжение,18.349245,lower
продолжением,7.357717,lower
продолжения,10.721245,lower
продолжил,24.385576,lower
продолжила,8.348756,lower
продолжили,5.045292,lower
продолжительности,6.456772,lower
продолжительность,10.991528,lower
продолжить,17.087922,lower
продукт,32.043608,lower
продукта,18.679591,lower
продуктами,12.733355,lower
продуктов,45.167372,lower
продуктом,7.537906,lower
продукты,37.929781,lower
продукции,45.798033,lower
продукцию,16.607418,lower
продукция,8.01841,lower
продюсер,5.465733,lower
проезд,6.306614,lower
Проект,15.225969,higher
проект,94.8695,lower
проекта,86.130334,lower
проектами,5.525796,lower
проектах,8.498914,lower
проекте,17.688552,lower
проектирования,7.387748,lower
проектов,54.74742,lower
проектом,11.411969,lower
проекту,14.805528,lower
проекты,39.581513,lower
проеме,5.525796,lower
проехать,7.267622,lower
проживает,5.856142,lower
проживания,10.511024,lower
прожил,16.156946,lower
прожила,6.787118,lower
прожили,6.186488,lower
прожить,11.742315,lower
проза,12.43304,lower
прозвали,6.967307,lower
прозвище,10.240741,lower
прозвищу,5.375638,lower
прозвучал,5.315575,lower
прозвучало,5.856142,lower
прозе,10.42093,lower
прозрачной,7.928315,lower
прозрачные,6.186488,lower
прозрачный,5.525796,lower
прозрачным,5.045292,lower
прозу,7.778158,lower
прозы,14.865591,lower
проиграл,5.555827,lower
произведение,24.896111,lower
произведением,5.045292,lower
произведении,5.165418,lower
произведений,36.007765,lower
произведения,52.615183,lower
произведениями,5.195449,lower
произведениях,10.150646,lower
произвел,7.447811,lower
произвела,5.736016,lower
произвели,5.916205,lower
произвести,10.871402,lower
производит,16.126914,lower
производителей,19.130064,lower
производители,11.472032,lower
производитель,6.907244,lower
производительности,8.709134,lower
производительность,6.066362,lower
производителя,7.988378,lower
производится,10.180678,lower
производить,18.229119,lower
производств,7.02737,lower
производства,98.052839,lower
производстве,19.910883,lower
производственного,7.237591,lower
производственной,6.877213,lower
производственные,5.40567,lower
производственных,10.571087,lower
производство,57.990821,lower
производством,8.679103,lower
производству,13.964646,lower
производят,11.351906,lower
произнес,37.088899,lower
произнесла,13.484142,lower
произнести,7.597969,lower
произносил,6.306614,lower
произносит,12.132725,lower
произносить,5.585859,lower
произнёс,6.666992,lower
произойдет,17.508363,lower
произойти,14.535245,lower
произошел,16.547355,lower
произошла,19.820788,lower
произошли,12.43304,lower
произошло,94.689311,lower
происходил,6.576898,lower
происходила,5.796079,lower
происходили,10.360867,lower
происходило,40.362332,lower
Происходит,5.01526,higher
происходит,170.608936,lower
происходить,12.823449,lower
происходят,23.154284,lower
происходящего,12.102693,lower
происходящее,15.105843,lower
происходящие,5.285544,lower
происходящих,5.946236,lower
Происхождение,5.856142,higher
происхождение,21.832899,lower
происхождении,10.841371,lower
происхождению,5.61589,lower
происхождения,33.425057,lower
происшествия,7.658032,lower
пройдет,25.736993,lower
пройдут,5.796079,lower
пройдя,6.81715,lower
пройти,44.026175,lower
пройтись,5.135386,lower
прокуратуры,5.195449,lower
прокурор,5.856142,lower
прокурора,7.41778,lower
пролетариата,12.072662,lower
пролетарской,5.225481,lower
промежуток,5.585859,lower
промолчал,6.787118,lower
промысел,5.045292,lower
промышленного,10.991528,lower
промышленной,9.850331,lower
промышленности,42.014065,lower
промышленность,13.454111,lower
промышленных,14.955686,lower
пронзительно,5.255512,lower
проникает,5.675953,lower
проникновения,6.42674,lower
проникнуть,8.859292,lower
пропаганда,6.697024,lower
пропаганды,10.270772,lower
пропадает,6.096394,lower
пропал,16.697513,lower
пропала,8.198599,lower
пропали,7.537906,lower
пропало,6.486803,lower
пропасть,13.333985,lower
проповеди,6.126425,lower
проповедь,5.495764,lower
пропорции,6.42674,lower
пропустил,6.276583,lower
пропустить,10.360867,lower
пророк,7.147496,lower
пророка,9.910394,lower
пророков,6.486803,lower
прорыв,8.949386,lower
просвещения,15.466221,lower
просил,31.172694,lower
просила,16.937764,lower
просили,12.403008,lower
просит,23.634788,lower
просить,19.25019,lower
прославился,5.255512,lower
проследить,11.02156,lower
прослеживается,5.375638,lower
